ID,Jurisdiction,State,District_Type,District_Number,Candidate_Name,Party,Total_Amount,Total_For,Total_Against,PAC_Name,PAC_Type,PAC_ID,ID_Type,Citation_URL
EDF ACTION VOTES_210417,Federal Office,MT,U.S. Senate,,Steve Bullock,D,210417.00,210417.00,0.00,EDF ACTION VOTES,Super PAC,C00707845,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707845
EDF ACTION VOTES_0,Federal Office,NM,U.S. House,2,Claire Chase,R,10250.00,0.00,10250.00,EDF ACTION VOTES,Super PAC,C00707846,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707846
EDF ACTION VOTES_0,Federal Office,MT,U.S. Senate,,Steven Daines,R,1343968.00,0.00,1343968.00,EDF ACTION VOTES,Super PAC,C00707847,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707847
EDF ACTION VOTES_31500,Federal Office,NC,U.S. House,11,Dan Driscoll,R,31500.00,31500.00,0.00,EDF ACTION VOTES,Super PAC,C00707848,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707848
EDF ACTION VOTES_161361,Federal Office,PA,U.S. House,1,Brian Fitzpatrick,R,161361.00,161361.00,0.00,EDF ACTION VOTES,Super PAC,C00707849,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707849
EDF ACTION VOTES_0,Federal Office,VA,U.S. House,7,Nick Freitas,R,627505.00,0.00,627505.00,EDF ACTION VOTES,Super PAC,C00707850,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707850
EDF ACTION VOTES_0,Federal Office,CO,U.S. Senate,,Cory Gardner,R,174356.00,0.00,174356.00,EDF ACTION VOTES,Super PAC,C00707851,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707851
EDF ACTION VOTES_0,Federal Office,NM,U.S. House,2,Yvette Herrell,R,10250.00,0.00,10250.00,EDF ACTION VOTES,Super PAC,C00707852,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707852
EDF ACTION VOTES_0,Federal Office,TX,U.S. House,7,Wesley Hunt,R,267211.00,0.00,267211.00,EDF ACTION VOTES,Super PAC,C00707853,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707853
EDF ACTION VOTES_1333,Federal Office,AZ,U.S. Senate,,Mark Kelly,D,1333.00,1333.00,0.00,EDF ACTION VOTES,Super PAC,C00707854,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707854
EDF ACTION VOTES_0,Federal Office,SC,U.S. House,1,Nancy Mace,R,346145.00,0.00,346145.00,EDF ACTION VOTES,Super PAC,C00707855,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707855
EDF ACTION VOTES_100175,Federal Office,FL,U.S. House,18,Brian Mast,R,100175.00,100175.00,0.00,EDF ACTION VOTES,Super PAC,C00707856,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707856
